카페명,지역,정보등급,블로그총량,스니펫수,카페명포함스니펫,블로거수,최신포스트,지역검색_상호,지역검색_업종,지역검색_주소,스니펫예시
제로정류장,애월,low,4200,100,93,98,20260703,제로정류장,"음식점>카페,디저트",제주특별자치도 서귀포시 중앙로 50 1층,제로정류장 주소 제주 서귀포시 중앙로 50 1층 ⏰ 영업시간 평일 08:00-22:00 / 주말 09:00-22:30  전화번호 0507-1412-0751 ️ 주차가능 서귀포올레시
레이오버,제주시내,low,4182,100,100,100,20260707,레이오버,"음식점>카페,디저트",제주특별자치도 제주시 구좌읍 해맞이해안로 648,제주당근주스맛집 #제주오션뷰카페 #제주오션뷰대형카페 #제주대형카페 #제주동쪽애견동반카페 #제주코난해변카페 #제주레이오버 #카페레이오버 #레이오버주차 #제주당근주스맛집 #내돈내산 #
우도팡팡,우도,low,4181,100,3,95,20260701,우도팡팡,"음식점>카페,디저트",제주특별자치도 제주시 우도면 우도해안길 372 우도팡팡,"운영 정보 우도팡팡은 제주 제주시 우도면 우도해안길에 위치한 카페 및 디저트 전문점이다. 운영 시간은 정기적으로 확인해야 하며, 주말에는 많은 방문객이 몰리는 편이다. 이용 방법 "
외도339,제주시내,low,4148,100,98,97,20260703,외도339,"카페,디저트>베이커리",제주특별자치도 제주시 일주서로 7345 OEDO339,ㅎㅎ 제주에서 바다가 보이는 넓고 쾌적한 카페를 찾고 계신다면 외도339 한번 들러보시는 건 어떨까요?~ #외도339 #제주외도339 #제주외도 #제주도베이커리카페 #제주도외도33
남원 아담원 수목원카페,남원,low,4143,100,8,93,20260708,,,,사실 남원 여행 광한루보다는 아담원을 가고 싶어서 가을에 잘 다녀왔었던 아담원 이렇게 해맑고 친했을 때가 있었구나 참 사진을 보면 알겠다 얼마나 성장하였는지. 우리 딸들 지상전 시
카페사계,사계,low,4137,100,18,97,20260704,영아리카페사계해안본점,브런치카페,제주특별자치도 서귀포시 안덕면 사계남로 80 A동,#내돈내산 #라이프워크카페 #젠하이드어웨이 #제주여행 #제주카페 #제주갈만한곳 #내돈내산 #제주생활... 이미 제주에 살고 있는 지인이 멋진 카페가 있다며 달려간 곳은 산방산 인근
오아시스80,애월,low,4102,100,100,94,20260707,오아시스80,"카페,디저트>카페","제주특별자치도 제주시 애월읍 애월로1길 26-7 가동, 나동 1층",제주 애월 카페 이동건 오아시스80 카페 방문 후 식사까지 여러가지 꼭 가보고 싶었던 제주도 여행 계획... 띄는데요 제주 오아시스80의 유니크한 매력이 다른 카페보다 독특한 부분
카페 델문도,함덕,low,4055,100,88,97,20260708,델문도,"음식점>카페,디저트",제주특별자치도 제주시 조천읍 조함해안로 519-10,제주 카페 제주 동쪽 카페 델문도 김녕점 주차장O 제주 여행 첫날부터 날씨가.. 이런날은 그냥 맛있는거... 주문도 가능해서 좋았어요!ㅎㅎㅎ 빵은 오후 좀 늦게 가서 많이 빠지긴
티나케이크,성산,low,4035,100,100,95,20260703,티나케이크 제주시점,"카페,디저트>케이크전문",제주특별자치도 제주시 노형4길 18 황금빌상가 1층 티나케이크,이였어요 제기준 고기국수 1등이에요 티나케이크 제주공항 근처 케이크 맛집 / 영업시간 10시~19시 고기국수먹고 디저트로 티나케이크 당근케이크 먹으러 왔어요 여기는 이효리가 제주살
시스터필드,중문,low,4034,100,100,94,20260703,시스터필드,"카페,디저트>베이커리",제주특별자치도 서귀포시 월드컵로 8,베스트인 제주 시스터필드 후기 솔직하게 남겨보겠습니다! 제주 시스터필드 위치 제주 서귀포시... 진짜 제주 빵지순례 시스터필드는 꼭 가세요...후회 안합니다 그리고 여긴 관광객들도
표선비치 카페 희상,표선,low,3997,100,0,94,20260623,,,,좋아하더군요 제주 표선 카페 희상에서 맛본 오레오 빙수 눈꽃빙수 눈꽃빙수에 오레오가 가득 그리고 아이스크림 하나가 들어있답니다. 아이스크림 이름이 갑자기 생각 안 나네요 ㅠㅠ 하얀
어니스트밀크,서귀포시내,low,3981,100,100,96,20260708,어니스트밀크,"음식점>카페,디저트",제주특별자치도 서귀포시 성산읍 중산간동로 3147-7 2층,"넘 귀염뽀짝했던 제주 동쪽 이색 카페 어니스트밀크에서 젖소,송아지 보고 우유 아이스크림까지 달콤하게 즐기고 왔네요  #제주동쪽이색카페 #제주동쪽카페 #제주어니스트밀크본점 #어니스트"
백한철꽈배기,남원,low,3943,100,100,99,20260708,백한철꽈배기&식빵,"카페,디저트>베이커리",제주특별자치도 서귀포시 남원읍 남한로21번길 56,백한철꽈배기&식빵 주소 : 제주 서귀포시 남원읍 남한로21번길 56 전화번호 : 0507-1448-5063 영업시간 : 07:30... 양도 어찌나 넉넉하던지 이 가격에 이정도 양
카페 오른,성산,low,3935,100,77,100,20260704,오른,"음식점>카페,디저트",제주특별자치도 서귀포시 성산읍 해맞이해안로 2714 orrrn,오늘은 제가 제주 카페 오른 다녀온 후기를 이야기해 드릴게요. 제주 대형 카페 오른은 성산일출봉 인근 위치한 가게로 통창으로 보이는 오션뷰가 소문난 곳이죠. 이미 인스타그램에서 많
카페오른,성산,low,3935,100,77,100,20260704,오른,"음식점>카페,디저트",제주특별자치도 서귀포시 성산읍 해맞이해안로 2714 orrrn,오늘은 제가 제주 카페 오른 다녀온 후기를 이야기해 드릴게요. 제주 대형 카페 오른은 성산일출봉 인근 위치한 가게로 통창으로 보이는 오션뷰가 소문난 곳이죠. 이미 인스타그램에서 많
낭뜰에 쉼팡,조천,low,3915,100,100,96,20260708,낭뜰에쉼팡,음식점>한식,제주특별자치도 제주시 조천읍 남조로 2343,"낭뜰에쉼팡 위치 : 제주 조천읍 남조로 2343 예약 : 현장 웨이팅 메뉴 : 낭뜰정식, 고등어구이, 제육볶음 단체이용가능 주차완비 정갈한 제주 향토 음식을 먹고 싶다면? 낭뜰에쉼"
중문별장 코쿤카페,중문,low,3861,100,0,98,20260705,,,,"중문별장 분위기상 노키즈존 같은뎅!! 노키즈 아니에요 ㅎㅎ 저희도 아이랑 같이 방문했습니다 코쿤이 방문한 카페가 왜 그리 뜨거운 화제가 됐는지 궁금한 상태였는데, 비 오는 제주에서"
바이닐 제주,애월,low,3837,100,98,100,20260705,바이닐 제주,테마카페,제주특별자치도 제주시 한림읍 한림로 470,"바이닐 제주라는 이름의 이곳은 음악을 사랑하는 사람들, 특히 레트로한 LP 감성을 좋아하는 분들에겐 천국 같은 공간이에요. 협재해수욕장 근처에 위치해서 제주 바다와 비양도를 한눈에"
조은기록,한림,low,3783,100,100,93,20260708,조은기록,브런치카페,제주특별자치도 제주시 한림읍 대림10길 76-3 1층,"움직이기 피곤했는데, 안 갔으면 아쉬웠을 제주도 브런치 카페. 분위기도 좋고 사장님네도 친절하시고~ 안 갈 이유가 없다! 혹시 모르니 새참 도시락은 예약해두기! 조은기록 제주 제주"
담소요카페,기타,low,3755,100,43,96,20260708,카페 담소요,"음식점>카페,디저트",제주특별자치도 서귀포시 남원읍 신례천로 193 담소요,맛도리~ #제주담소요 #카페담소요 자유롭게 돌아다니는 오리도 비현실적이고 풍경도 비현실적임..❤️ 덥긴 오지게 더웠는데 우리 애들 더운줄도 모르고 벌레 잡아다가 오리 입에 넣어주고
더리트리브 카페,서귀포시내,low,3702,100,30,93,20260704,더리트리브,"카페,디저트>카페",제주특별자치도 서귀포시 안덕면 화순로 67,더리트리브 안덕면에 위치한 더리트리브에요 8년이라고 했지만 기억나는게 8년이지 더 전부터... 카페라떼 제주도 카페 더리트리브 오시면 무조건 아이스카페라떼에요 왜냐면 보이시죠? 얼
콜로세움,제주시내,low,3640,100,100,91,20260707,콜로세움,"음식점>카페,디저트",제주특별자치도 제주시 민오름길 14 카페 콜로세움 제주,"제주 콜로세움은 1,2층으로 된 대형카페인데, 바테이블도 있어 혼자 방문하기에도 괜찮고요. 2층에는... 제주 화덕피자 신메뉴 카페 콜로세움은 제주 화덕피자 맛집이에요. 화덕은 원"
도주제,서귀포시내,low,3638,100,100,97,20260707,도주제,술집>요리주점,제주특별자치도 제주시 관덕로3길 9-1 1층,✔️도주제 캐치테이블 도주제  제주 제주시 관덕로3길 9-1 1층 ⏰ 영업시간 1부 10:30 - 16:00 브레이크 16:00 - 17:30 2부 17:30 - 01:00 ※ 수
커피냅로스터스,애월,low,3516,100,100,97,20260706,커피냅로스터스 제주,"음식점>카페,디저트",제주특별자치도 제주시 애월읍 하귀2길 45 1층,커피냅로스터스 연남점도 다녀왔고 제주여행을 가게된다면 커피냅로스터스 제주점을 꼭 방문할 예정인만큼 내 취향의 카페이기도 하다. 근처 카페 코드비를 들렀다가 원두사러 다녀온 기록..
프릳츠 성산점,성산,low,3508,100,15,96,20260707,프릳츠 제주성산점,"음식점>카페,디저트",제주특별자치도 서귀포시 성산읍 일출로 222,"그 길가에서 &lt;프릳츠 제주성산점&gt;은 파란 지붕과 붉은 벽돌의 몸으로 앉아 있었다. 커피를 든 물개 로고는 서울의 골목에서 건너온 익숙한 친구 같았고, 그 뒤로 성산일출봉"
카페 말로,조천,low,3506,100,89,100,20260616,말로,"음식점>카페,디저트",제주특별자치도 제주시 조천읍 남조로 1785-12,블코입니다 :) 오늘은 제주 두돌 아기랑 다녀온 제주 카페 말로와 길갈팜랜드 후기를 남겨보려고 해요.... :) 카페 말로 제주 아기랑 카페 추천 카페 말로 주소 : 제주 제주시
표선해수욕장 인근 카페(특정불명),표선,low,3484,100,0,95,20260706,,,,"아기 데리고 표선 친정집에서 3주간 제주살이를 하는 중인 요즘! 매일 바다 보고, 느긋하게 먹고, 일찍... 든 #카페젠타일스 표선해수욕장 바로 앞에 위치해서 인근에 있는 해비치호"
시소 카이막,서귀포시내,low,3456,100,99,97,20260705,시소 카이막 애월점,"음식점>카페,디저트",제주특별자치도 제주시 애월읍 애월해안로 566 1층,"제주 시소 카이막 웨이팅 주차&동문재래시장&몬트락 시소 카이막 동문시장점 주소 : 제주 제주시 동문로6길 9 1층 위치, 주차 제주 시소 카이막 동문시장점은 아베베베이커리 바로 옆"
선셋클리프,애월,low,3441,100,52,99,20260704,썬셋클리프,"음식점>카페,디저트",제주특별자치도 제주시 애월읍 애월로1길 19-8,"바다와 선셋을 바라보며 맛있는 식사까지 함께 즐기기 좋은 제주 서귀포 카페 더클리프 메뉴소개  주문한 메뉴 • 클리프 올레 버거 24,000원 • 색달비치 칵테일 17,000원 •"
나나이로,세화,low,3426,100,100,99,20260530,나나이로,"가구,인테리어>인테리어소품",제주특별자치도 제주시 구좌읍 구좌로 75-1,떠나봅니다 #카멜커피제주 또 왔다 카멜 이쁨 사람없을때 후다닥 찍어봄ㅋ 안녕 카멜시그니처인... #나나이로 예전에 왔던 여름문구사 바로 옆에 있던 소품샵 자개드림캐쳐가 반겨준다 아
비수기애호가,제주시내,low,3425,100,100,99,20260707,비수기애호가,"음식점>카페,디저트",제주특별자치도 제주시 구좌읍 해맞이해안로 997 2층,제주 2일차 시작해봅니다. 전 바보 아닙니다. 이른 점심으로 갈치조림을 먹겠다고 맛나식당을... 와보고싶었던 비수기 애호가로 갔어염 내부는 이렇게 깔끔하다 주차는 반대편에 하고 건
르바게트,월정리,low,3405,100,100,92,20260707,르바게트,"카페,디저트>베이커리",제주특별자치도 제주시 구좌읍 월정1길 30 Le Baguette,제주 여행에서 나의 최애 숙소가 되어버린 구좌에 있는 한동안 제주에서 차로 8분 거리에 있는 제주 동쪽 빵지순례 필수 빵집 르바게트 르바게트 제주 제주시 구좌읍 월정리 348-3
Cafe Orrrn (카페오른),성산,low,3364,100,1,100,20260626,오른,"음식점>카페,디저트",제주특별자치도 서귀포시 성산읍 해맞이해안로 2714 orrrn,바로 카페입니다 제주여행 숙소 편에 이어 카페 이야기를 들려드릴게요 제주에 도착한 첫날에는 가볍게... 도착한 카페는 바로 오른 Orrrn입니다 비도 내리고 배도 고팠던 터라 카페
풀무질,세화,low,3275,100,100,99,20260707,제주풀무질,서점>독립서점,제주특별자치도 제주시 구좌읍 구좌로 53 제주풀무질,책 중에 서점 주인분들을 인터뷰한 책이 있었는데 거기에 풀무질에 대한 이야기도 있었다. 서울에서... 말에 제주로 내려오시면서 제주풀무질을 여시게 된 것까지. 제주풀무질의 시간을
헤일리,성산,low,3240,100,100,99,20260708,해일리 카페,"음식점>카페,디저트",제주특별자치도 서귀포시 성산읍 한도로 269-37 해일리카페,#제주성산일출봉카페 #헤일리카페 #제주카페추천 서귀포 성산 헤일리카페 지난해 다녀온 제주도... 들었던 제주 헤일리카페였습니다. 베이커리 나름 등산 후였기 때문에 꽤 힘들었던 상태
차한모금 A Sip of Tea,세화,low,3216,100,0,84,20260706,,,,042-867-7009 www.morrisgallery.co.kr ● 꽃 한 모금 A Sip of Flower 김영진 본 전시의 메인 작품은 꽃의 형상을 모티브로 제작한 찻잔과 화
노바운더리,표선,low,3190,100,100,97,20260707,노바운더리 제주,브런치카페,제주특별자치도 서귀포시 표선면 번영로 2610 1층,제주 자연을 느끼면서 여유롭게 시간 보내고 싶은 날 다시 생각날 것 같은 카페다. #노바운더리제주 #표선카페 #다이나믹메이즈맛집 #제주브런치카페 #제주베이커리카페
미깡창고,애월,low,3158,100,100,100,20260703,미깡창고,"음식점>카페,디저트",제주특별자치도 제주시 애월읍 중산간서로 6710-1 미깡창고,"카페 미깡창고에요! [제주 서귀포시 카페] 미깡창고 (감성카페,제주도카페) [제주 서귀포시 카페] 미깡창고 (감성카페,제주도카페) 제주도에 와서 말을 못타고 못봤던게 조금 아쉬움으"
맥파이 브루어리,조천,low,3142,100,99,97,20260605,맥파이 브루어리,"술집>맥주,호프",제주특별자치도 제주시 동회천1길 23,하는 맥파이 브루어리 양조장에 다녀왔던 후기를 솔직하게 작성할게요 제주 맥파이 브루어리 위치는 제주 동쪽에 자리하고 있고 너무 동쪽은 아니고 공항과 30분 거리에 위치하고 있어요
꽃향유,애월,low,3117,100,100,95,20260520,꽃향유,"음식점>카페,디저트",제주특별자치도 제주시 애월읍 고하상로 101,"카페 찾으신다면 소품도 둘러보면서 힐링하기 좋을 것 같습니다 애월카페,제주감성,제주카페추천,애월소품샵,제주소품샵,제주여행,제주스타그램, 제주살이,더럭분교,제주디저트카페,애월맛집,선"
프릳츠카페성산점,성산,low,3116,100,1,99,20260707,프릳츠 제주성산점,"음식점>카페,디저트",제주특별자치도 서귀포시 성산읍 일출로 222,성산일출봉 카페 프릳츠 제주 성산점 성산일출봉 뷰에 오션뷰 더하기 갑작스레 떠나게 된 제주여행 완전 무계획으로 떠나 제주 도착해서 어디 갈지 정했을 정도였다 심지어 비행기 지연으로
무상찻집,제주시내,low,3057,100,100,99,20260706,무상찻집,"음식점>카페,디저트",제주특별자치도 제주시 서광로5길 10 단독주택,무상찻집 정보 무상찻집은 제주시 용담에 위치해서 공항과 가깝다. 강민경님 제주 브이로그에 등장했던 곳이라 방문 전부터 기대감이 한껏 높아졌다. 제주 무상찻집 주차는 쉽지는 않더라.
브레드브루,함덕,low,3009,100,100,100,20260603,브레드브루,"카페,디저트>베이커리",제주특별자치도 제주시 조천읍 신북로 463 1층,지난 3편에 이어 4편 오늘은 회사에 친한동생들이 제주도 당일치기로 오는날이다. 내가 제주도를 혼자... 헬리녹스도 구경 하면서 오늘의 아이쇼핑코스 순회 완료 그리고 다음 코스로는
우도(섬) 카페들,우도,low,3002,100,99,92,20260707,,,,탁 트인 바다 풍경 우도 해안도로는 제주 본섬과는 또 다른 청량하고 맑은 바다 색으로 유명해서 걷거나... 가진 카페들이 많아서 쉬엄쉬엄 들러도 좋아요~ 우도 섬 한 바퀴 완주한
꼬스뗀뇨카페,기타,low,2998,100,37,97,20260705,,,,오늘도 글 읽어주셔서 감사해요 다음 포스팅에서 만나요❤️ #제주도 #제주도여행 #제주종달리카페 #제주꼬스뗀뇨 #제주꼬스뗀뇨카페 #제주구좌읍카페 #제주카페 #종달리카페 #꼬스뗀뇨 #
트라이브,애월,low,2977,100,100,98,20260707,트라이브,"음식점>카페,디저트",제주특별자치도 제주시 애월읍 애월로 11,사진 © JINI 얼마전 3박 4일 일정으로 다녀온 제주도 여행 첫날~ 동문시장 근처 카페 트라이브에서 맛있는 수플레 케이크와 커피 한잔으로 여행을 시작했어요. 제주 트라이브 동문
가는곶 세화,구좌,low,2956,100,97,94,20260707,가는곶 세화,"카페,디저트>베이커리",제주특별자치도 제주시 구좌읍 세화14길 3 가는곶 세화,"아이와 가을 제주여행 1  가는곶세화, 스누피가든, 금능해변 일몰, 한림 사형제식당 횟집 제주여행 첫째날! 사실 전날 먼저 저랑 아이 둘이 와있었고 신랑은 배에 저희 차를 싣고 오"
가는곶세화,세화,low,2956,100,97,94,20260707,가는곶 세화,"카페,디저트>베이커리",제주특별자치도 제주시 구좌읍 세화14길 3 가는곶 세화,"아이와 가을 제주여행 1  가는곶세화, 스누피가든, 금능해변 일몰, 한림 사형제식당 횟집 제주여행 첫째날! 사실 전날 먼저 저랑 아이 둘이 와있었고 신랑은 배에 저희 차를 싣고 오"
다린,서귀포시내,low,2935,100,100,85,20260708,다린,"카페,디저트>차",제주특별자치도 서귀포시 법환로 11 1층,"가자"" 그렇게 찾아 간 제주 법환포구 전통찻집 다린. #제주법환포구 #법환포구카페 #제주전통찻집 #제주다린 2020년부터 법환포구오면 꼬옥 들렸던 제주 다린. 남편과 연애할 때도 "
세러데이 아일랜드 카페,서귀포시내,low,2923,100,28,96,20260706,세러데이아일랜드,"음식점>카페,디저트",제주특별자치도 서귀포시 남원읍 남한로21번길 28 카페,정말 아름다웠던 제주 동쪽 카페 추천은 세러데이아일랜드입니다. 사실 제주 서쪽에 살아서 남원이나 표선 쪽은 일이 있어야만 가게 된답니다. 특히 카페를 가려고 차를 운전해서 1시간을
롱플레이,함덕,low,2919,100,100,95,20260608,꼬뜨도르호텔,숙박>호텔,제주특별자치도 제주시 구좌읍 일주동로 1724 꼬뜨도르호텔,"카페 롱플레이 제주 롱플레이 제주는 예약제로 운영 되, 키치 테이블 앱에서 예약이 가능했어요 혹시나... 그리고 그날의 플레이 리스트도 있어서 지금 나오는 음악을 바로 알 수 있어"
LIFEWORK,사계,low,2853,100,25,94,20260706,라이프워크 메가스토어 용담점,"문화,예술>복합문화공간",제주특별자치도 제주시 서해안로 456 라이프워크 메가스토어 용담점,제주도에서 우연히 만난 #카페 를 하나 소개해 드리려고 해요. 물론 #내돈내산 후기이니 참고... #LIFEWORK카페 는 제주에 제법 많이 있더라구요. 여기에 들어갔다가 와서 그
행복밀,기타,low,2838,100,100,90,20260706,행복밀,"카페,디저트>베이커리",제주특별자치도 제주시 서광로 239 1층,이곳은 단순히 빵 종류만 많은게 아니라 전체적인 완성도가 높은 제주 행복밀이에요. 재료의 신선함은... 시간 평일 09:30~18:00 주말 09:30~20:00 휴무 없음 #단비
블루메베이글,김녕,low,2833,100,100,95,20260610,블루메베이글,"카페,디저트>베이커리",제주특별자치도 제주시 가령로4길 3 1층,제주 빵지순례 필수 코스입니다!!! 1. 외관 & 주차 제주 블루메베이글 외관입니다. 첫 날엔 비가 와서... 제가 유명한 블로거였다면 블루메베이글을 제주빵지순례 원탑으로 쾅 쾅
언더라운지,함덕,low,2822,100,100,99,20260624,언더라운지 제주함덕점,"음식점>카페,디저트","제주특별자치도 제주시 조천읍 함덕로 40 5층, 6층",소노벨 제주 체크인 -&gt; 함덕해변 -&gt; 함덕 언더라운지 카페 -&gt; 오드랑베이커리 -&gt; 백록집 (고등어회) 4일차: 함덕 숙성도 -&gt; 함덕해변 -&gt;
피커스 제주,기타,low,2821,100,87,99,20260620,피커스,"음식점>카페,디저트",제주특별자치도 제주시 아연로 444-1 2층,카페#제주 빵집#제주 아이랑 가볼만한곳#제주공항근처카페#제주비오는날갈만한곳#제주체험거리#제주도아이랑가볼만한곳#제주도피커스#피커스#피커스제주#제주대형카페#제주롤러장#제주롤러스케이트장
모찌마루,애월,low,2794,100,100,57,20260704,모찌마루,"음식점>카페,디저트",제주특별자치도 제주시 공항로1길 14 제1동 지하1층,모찌마루 주소: 제주 제주시 공항로1길 14 제1동 지하1층 전화번호:0507-1396-5153 영업시간:매일 09:00~18:00 제주 롯데렌트카를 픽업 하고 난 후 모찌마루에
이동건 카페,애월,low,2774,100,91,95,20260708,,,,제주 애월 카페 이동건 오아시스80 카페 방문 후 식사까지 여러가지 꼭 가보고 싶었던 제주도 여행 계획... 느껴졌어요 제주 이동건 카페로 입소문이 꽤나 알려져 있어 주말은 북적일
object,제주시내,low,2747,100,61,85,20260703,오브젝트 제주점,"가구,인테리어>인테리어소품",제주특별자치도 제주시 구좌읍 동복로 87,"사물함까지,,,,진짜 예쁜 곳이였숩니당:) 넘 맛있게 먹어서 배불렀던 그러다가 마주친 내 마음에 든 공간 비록 바람이 불어서 머리가 엉망이지만ㅋㅋㅎㅋㅎ 만족스런 런던베이글뮤지엄이여"
테이블앤데스크,서귀포시내,low,2713,100,100,94,20260629,테이블앤데스크,음식점>양식,제주특별자치도 서귀포시 남원읍 태위로360번길 192 바깥집,오일파스타 좋아하는 나를 위해 남편이 찾은 제주 남원 위미 맛집 테이블앤데스크 제주의 식당은 마감 시간이 거의 오후 3시가 많다. 그마저도 맛집은 일찍 가지 않으면 재료 소진으로
바이러닉,제주시내,low,2705,100,100,99,20260706,바이러닉 에스프레소 바 제주점,"카페,디저트>카페",제주특별자치도 제주시 테우해안로 96 바이러닉 에스프레소바,오늘도 글 읽어주셔서 감사해요 다음 포스팅에서 만나요❤️ #제주도 #제주도여행 #제주시카페 #제주내도동카페 #제주바이러닉 #바이러닉제주 #바이러닉에스프레소바 #제주도카페 #서이추
달리센트,세화,low,2692,100,100,98,20260620,달리센트,"가구,인테리어>인테리어소품",제주특별자치도 제주시 구좌읍 종달리 1991 종달논길72-6(옆골목),제주도의 동녘 끝 낭만있는 마을 종달리♡ 여행 하반부는 제가 제주도에서 유독 좋아하는 동쪽마을에서... 소품샵 달리센트에도 들러보았어요 맞은편 공사판이었는데ㅋㅋ 마을이 살짝 내려다
이끼숲소길,애월,low,2654,100,100,92,20260708,이끼숲소길,"음식점>카페,디저트",제주특별자치도 제주시 애월읍 장소로 621,"신라호텔 조식 더파크뷰 숨비정원 산책 호텔 체크아웃 여미지 식물원 이끼숲소길 제주 공항 집 마지막 조식, 더 파크뷰 여행 마지막 아침도 더 파크뷰에서 시작했다. 이번에는 안쪽 구석"
빽다방 함덕,함덕,low,2634,100,24,97,20260701,빽다방 제주함덕점,"카페,디저트>테이크아웃커피",제주특별자치도 제주시 조천읍 조함해안로 450 가동 2층~4층,"제주 빽다방 함덕 500원 할인 아메리카노 기간 사진, 글 : 보니엄마 안녕하세요 : ) 여행인플루언서... 제주 함덕 빽다방은 테이크아웃만 했는데 이번에 빽다방 500원 행사 아"
카페 진정성,제주시내,low,2614,100,98,97,20260702,카페진정성 종점,"음식점>카페,디저트",제주특별자치도 제주시 서해안로 124,그래서 오늘 추천드릴 곳은 밀크티가 유명한 제주카페 진정성입니다. 카페 진정성 매일 09:00 ~ 21:00 카페 진정성은 제주공항에서 차로 10분 거리라 비교적 접근성은 좋은 편
포레스트제이 카우셰드,서귀포시내,low,2612,100,100,97,20260629,포레스트제이 카우셰드,"음식점>카페,디저트",제주특별자치도 서귀포시 안덕면 화순서서로64번길 16 포레스트제이카우셰드,매장 내 귤 밭 제주 화순리 카페 포레스트제이 카우셰드는 내부에 귤 밭을 하나 끼고 있습니다. 크진 않습니다. 이 귤밭에서 귤 따는 체험을 할 수 있나 봅니다. 바스켓이 어느 정도
올댓커피,곽지,low,2597,100,100,98,20260706,,,,제주 애월 올댓커피도 진심 맛있어요. 커피가 맛있어서 커피 좋아하는 분들은 디저트와 함께 다양한 스타일로 즐겨봐도 좋을 것 같아요. 대표메뉴인 올댓커피+바게트! 플랫화이트+카카오+
비케이브,조천,low,2575,100,100,93,20260707,비케이브,"음식점>카페,디저트",제주특별자치도 제주시 조천읍 동백로 122,"제주 포토존 카페 비케이브 글, 사진, 영상 ©짱유 제주 여행 중 빠질 수 없는 코스가 바로 예쁜... 제주 비케이브 후기 남겨볼게요-! 목 차 ① 영업정보 ② 주차장 및 대중교통"
그라나다 카페,제주시내,low,2548,100,61,98,20260605,그라나다,"카페,디저트>카페",제주특별자치도 제주시 도공로 86-1,"된 제주공항 근처 카페 ""그라나다 카페"" 네이버에 검색해 보니 비행기를 가까이에서 볼 수 있는 “비행기 뷰 카페”라고 하더라고요! 완전 럭키비키잖아?ㅎㅎ 잠깐 들러 테이크아웃하기로"
훈데르트윈즈,우도,low,2529,100,100,99,20260707,훈데르트윈즈,"음식점>카페,디저트",제주특별자치도 제주시 우도면 우도해안길 32-2 훈데르트윈즈,제주도 한정 디자인이라서 선물용으로도 좋을듯 ✨우도카페 추천 훈데르트윈즈 영업시간✨ 09:30 - 18:00 17:30 라스트오더 본격적으로 메뉴를 살펴볼게요. 훈데르트윈즈의 시그
rnr,제주시내,low,2503,100,87,98,20260702,rnr,"카페,디저트>베이커리",제주특별자치도 제주시 한림읍 협재1길 29,"이렇게 제주도 빵지순례 맛집 제주도 빵 맛집인 rnr베이커리에 대해서 소개해드렸는데용!! 제주 서쪽, 한림, 협재 쪽을 방문하시는 분이라면 시간내서 꼭 한번 들려보시길 추천드립니다"
타임 센트,곽지,low,2501,100,100,98,20260701,바다가 한눈에 보이는 타임센트,"카페,디저트>카페",제주특별자치도 제주시 애월읍 곽지11길 4 2층 201호,"위치 : 제주시 애월읍 곽지11길 4 2층 영업시간 : 매일 오전 10시~20시 전화번호 0507-1352-8006 주차자리 넓음, 주차 가능 외관 제주 애월 베이커리 카페 타임센"
세화씨 문방구,세화,low,2487,100,100,99,20260603,세화씨문방구,"쇼핑,유통>판촉,기념품",제주특별자치도 제주시 구좌읍 해맞이해안로 1450-1 세화씨문방구,"(2박 3일) 동행: 친구랑, 그리고 혼자 여행 코스 - DAY1: 공항 - 렌트카 엔젤카 - 숙소(이디하우스) - 한잔하세화 - DAY2: 용눈이오름 → 세화 구경(제주풀무질, "
에곤,성산,low,2471,100,100,97,20260125,성산읍 에곤카페,"음식점>카페,디저트",제주특별자치도 서귀포시 성산읍 신고로 52-18 1층 에곤카페,"같아요~~ 제주 성산 에곤카페 체험 가격표 확인하세요! 체험 가격도 합리적이어서 부담 없이... 모유수유 중이라서 딱 두 모금했습니다 두바이쫀득볼 5,500원 제주 에곤카페 두바이"
5L2F,표선,low,2465,100,93,100,20260703,5L2F,"카페,디저트>카페",제주특별자치도 제주시 조천읍 와흘상길 30,#5L2F메뉴 #제주5L2F카페 드셨던 커피가 맛있었다면 드립백으로도 구매가 가능하다고 해요! 매장 중앙 테이블에 디피되어 있으니 관심이 있다면 구경해보시는 걸 추천해요! 4. 5
폴 바셋 제주 용담 DT점,제주시내,low,2457,100,80,97,20260624,폴 바셋 제주 용담 DT점,"카페,디저트>카페",제주특별자치도 제주시 서해안로 442-1 폴바셋,"맛집 & 카페 정보 폴 바셋 제주 용담 DT점 ⓒ수딩이네 리뷰일기 안녕하세요, 수딩이입니다! 이번 포스팅에서는 제주 여행 마지막날 들렸던 카페, 폴바셋 제주 용담DT점을 소개해드리"
제피로스,애월,low,2416,100,100,77,20260326,제피로스,"음식점>카페,디저트","제주특별자치도 제주시 한경면 한경해안로 93-32 1층 제1, 2호","날씨가 따뜻해지면 제주여행에 #제피로스 또 오고 싶네요 가끔 앞 바다에 돌고래도 오고 저녁노을도 예쁘다는 제주 서쪽 신상 대형카페 #제피로스 제주 서쪽 여행하신다면, 딸기 케이크 "
